spending_id,customer_id,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_prods
128,675,146.00,0.00,93.00,7.00,13.00,73.00
129,679,13.00,4.00,20.00,0.00,0.00,1.00
130,692,4.00,2.00,5.00,0.00,0.00,5.00
131,697,972.00,59.00,913.00,25.00,19.00,59.00
132,701,707.00,21.00,250.00,85.00,43.00,73.00
133,702,162.00,61.00,83.00,97.00,57.00,61.00
134,709,787.00,20.00,204.00,0.00,0.00,92.00
135,713,141.00,15.00,153.00,67.00,31.00,35.00
136,716,529.00,0.00,356.00,63.00,28.00,0.00
137,736,18.00,3.00,19.00,3.00,3.00,6.00
138,737,1493.00,86.00,454.00,112.00,43.00,43.00
139,738,48.00,13.00,57.00,24.00,15.00,25.00
140,749,46.00,7.00,59.00,2.00,4.00,27.00
141,760,588.00,7.00,76.00,110.00,15.00,15.00
142,762,340.00,21.00,134.00,258.00,14.00,56.00
143,771,135.00,9.00,39.00,4.00,0.00,7.00
144,773,379.00,4.00,93.00,12.00,9.00,98.00
145,793,18.00,3.00,17.00,3.00,0.00,4.00
146,796,584.00,44.00,212.00,46.00,8.00,177.00
147,798,2.00,0.00,6.00,8.00,6.00,5.00
148,800,23.00,1.00,6.00,0.00,0.00,2.00
149,803,12.00,0.00,5.00,0.00,0.00,4.00
150,807,167.00,2.00,89.00,0.00,0.00,34.00
151,810,151.00,81.00,86.00,168.00,91.00,64.00
152,819,508.00,124.00,249.00,50.00,38.00,134.00
153,821,962.00,61.00,921.00,52.00,61.00,20.00
154,830,784.00,48.00,560.00,42.00,176.00,48.00
155,832,561.00,14.00,113.00,10.00,14.00,35.00
156,833,56.00,0.00,14.00,0.00,0.00,2.00
157,837,63.00,6.00,57.00,13.00,13.00,22.00
158,839,97.00,4.00,44.00,6.00,1.00,18.00
159,843,303.00,0.00,280.00,60.00,147.00,15.00
160,849,320.00,48.00,133.00,39.00,72.00,48.00
161,850,381.00,28.00,215.00,84.00,28.00,21.00
162,851,306.00,5.00,109.00,21.00,109.00,92.00
163,868,54.00,0.00,7.00,0.00,0.00,4.00
164,873,1099.00,0.00,45.00,0.00,0.00,34.00
165,879,411.00,0.00,26.00,0.00,0.00,21.00
166,880,2.00,23.00,11.00,8.00,6.00,46.00
167,891,6.00,0.00,2.00,2.00,0.00,1.00
168,895,410.00,16.00,114.00,0.00,5.00,49.00
169,898,38.00,15.00,54.00,3.00,8.00,29.00
170,902,224.00,12.00,48.00,4.00,12.00,12.00
171,905,7.00,17.00,18.00,6.00,10.00,26.00
172,907,254.00,6.00,71.00,4.00,0.00,27.00
173,916,20.00,3.00,4.00,2.00,0.00,2.00
174,922,16.00,2.00,11.00,3.00,0.00,16.00
175,933,9.00,0.00,6.00,4.00,1.00,5.00
176,938,51.00,1.00,7.00,2.00,1.00,25.00
177,940,158.00,11.00,99.00,15.00,11.00,17.00
178,942,139.00,13.00,78.00,20.00,13.00,36.00
179,944,121.00,103.00,69.00,8.00,44.00,48.00
180,945,87.00,3.00,25.00,3.00,2.00,13.00
181,946,45.00,47.00,52.00,21.00,20.00,25.00
182,948,4.00,7.00,7.00,6.00,4.00,13.00
183,954,3.00,3.00,24.00,34.00,7.00,31.00
184,955,167.00,2.00,44.00,6.00,2.00,19.00
185,961,133.00,27.00,421.00,13.00,195.00,71.00
186,965,235.00,65.00,164.00,50.00,49.00,27.00
187,966,538.00,13.00,91.00,17.00,6.00,26.00
188,967,342.00,9.00,112.00,19.00,14.00,19.00
189,968,112.00,19.00,21.00,16.00,14.00,5.00
190,975,178.00,4.00,26.00,8.00,4.00,44.00
191,977,200.00,19.00,111.00,50.00,15.00,19.00
192,979,6.00,10.00,21.00,19.00,14.00,42.00
193,983,110.00,29.00,92.00,28.00,10.00,145.00
194,988,410.00,0.00,592.00,147.00,22.00,22.00
195,999,490.00,44.00,125.00,29.00,20.00,22.00
196,1000,505.00,72.00,270.00,36.00,27.00,54.00
197,1008,728.00,17.00,133.00,11.00,8.00,124.00
198,1010,41.00,0.00,17.00,3.00,1.00,16.00
199,1012,523.00,7.00,134.00,37.00,14.00,169.00
200,1016,41.00,1.00,6.00,2.00,0.00,5.00
201,1020,350.00,60.00,568.00,110.00,133.00,145.00
202,1029,200.00,5.00,44.00,0.00,10.00,20.00
203,1030,22.00,0.00,13.00,0.00,0.00,3.00
204,1031,600.00,20.00,350.00,29.00,30.00,33.00
205,1041,322.00,3.00,50.00,4.00,3.00,42.00
206,1044,299.00,5.00,201.00,21.00,21.00,49.00
207,1045,112.00,10.00,107.00,30.00,0.00,20.00
208,1048,63.00,3.00,67.00,8.00,9.00,28.00
209,1050,14.00,10.00,13.00,4.00,15.00,9.00
210,1052,656.00,38.00,161.00,62.00,47.00,37.00
211,1055,29.00,0.00,8.00,2.00,0.00,6.00
212,1064,22.00,1.00,11.00,0.00,5.00,3.00
213,1065,557.00,129.00,984.00,193.00,37.00,18.00
214,1071,532.00,88.00,168.00,69.00,44.00,133.00
215,1072,70.00,0.00,17.00,0.00,0.00,6.00
216,1077,258.00,105.00,239.00,237.00,172.00,9.00
217,1079,1000.00,0.00,76.00,0.00,0.00,10.00
218,1081,733.00,9.00,180.00,12.00,19.00,66.00
219,1087,16.00,14.00,36.00,37.00,22.00,48.00
220,1092,269.00,129.00,495.00,182.00,43.00,29.00
221,1100,24.00,4.00,22.00,0.00,2.00,9.00
222,1103,1486.00,55.00,278.00,49.00,0.00,185.00
223,1109,6.00,0.00,5.00,0.00,0.00,1.00
224,1118,544.00,13.00,85.00,8.00,6.00,29.00
225,1127,938.00,19.00,843.00,25.00,95.00,38.00
226,1131,85.00,0.00,3.00,0.00,0.00,7.00
227,1135,18.00,2.00,19.00,0.00,2.00,6.00
228,1137,398.00,190.00,537.00,61.00,156.00,37.00
229,1139,1050.00,14.00,322.00,0.00,14.00,112.00
230,1142,208.00,7.00,82.00,30.00,66.00,35.00
231,1143,7.00,10.00,13.00,3.00,11.00,11.00
232,1146,520.00,8.00,223.00,32.00,49.00,42.00
233,1150,755.00,144.00,562.00,104.00,64.00,224.00
234,1158,102.00,1.00,15.00,2.00,0.00,24.00
235,1160,9.00,4.00,17.00,10.00,2.00,7.00
236,1162,124.00,83.00,267.00,85.00,59.00,35.00
237,1165,239.00,13.00,143.00,45.00,4.00,52.00
238,1168,322.00,53.00,899.00,34.00,40.00,53.00
239,1170,50.00,15.00,110.00,39.00,15.00,15.00
240,1172,979.00,44.00,935.00,29.00,25.00,22.00
241,1173,1200.00,105.00,758.00,0.00,42.00,147.00
242,1175,88.00,39.00,54.00,64.00,28.00,153.00
243,1176,2.00,6.00,4.00,3.00,1.00,9.00
244,1177,80.00,3.00,26.00,4.00,2.00,14.00
245,1183,9.00,1.00,4.00,3.00,2.00,3.00
246,1184,554.00,41.00,215.00,11.00,0.00,24.00
247,1204,1253.00,0.00,447.00,23.00,71.00,35.00
248,1212,384.00,25.00,292.00,130.00,41.00,64.00
249,1215,690.00,117.00,499.00,76.00,102.00,88.00
250,1225,483.00,84.00,398.00,205.00,84.00,241.00
251,1232,587.00,54.00,348.00,71.00,54.00,130.00
252,1241,13.00,3.00,8.00,7.00,4.00,16.00
253,1245,977.00,12.00,253.00,16.00,12.00,101.00
254,1250,34.00,6.00,21.00,11.00,4.00,8.00
255,1272,664.00,58.00,83.00,32.00,0.00,66.00
256,1277,434.00,22.00,388.00,104.00,22.00,34.00
257,1291,152.00,9.00,121.00,12.00,12.00,45.00
258,1295,231.00,65.00,196.00,38.00,71.00,124.00
259,1307,27.00,5.00,8.00,8.00,3.00,12.00
260,1321,22.00,2.00,18.00,0.00,2.00,12.00
261,1324,23.00,3.00,21.00,3.00,19.00,22.00
262,1328,261.00,42.00,144.00,55.00,48.00,133.00
263,1331,12.00,6.00,20.00,30.00,1.00,3.00
264,1340,551.00,137.00,792.00,179.00,103.00,33.00
265,1343,368.00,24.00,68.00,38.00,0.00,88.00
266,1349,85.00,7.00,24.00,2.00,3.00,27.00
267,1351,962.00,12.00,194.00,16.00,24.00,12.00
268,1357,856.00,59.00,487.00,58.00,29.00,73.00
269,1361,1076.00,68.00,103.00,29.00,91.00,68.00
270,1362,33.00,87.00,64.00,175.00,16.00,74.00
271,1371,123.00,164.00,266.00,227.00,30.00,174.00
272,1377,182.00,4.00,33.00,0.00,0.00,66.00
273,1378,284.00,16.00,160.00,84.00,16.00,134.00
274,1379,154.00,2.00,46.00,20.00,4.00,15.00
275,1381,172.00,3.00,115.00,16.00,0.00,18.00
276,1384,6.00,4.00,14.00,8.00,8.00,22.00
277,1386,10.00,0.00,1.00,0.00,0.00,0.00
278,1388,6.00,10.00,21.00,19.00,14.00,42.00
279,1399,407.00,114.00,445.00,181.00,165.00,203.00
280,1402,496.00,36.00,460.00,189.00,60.00,12.00
281,1403,8.00,4.00,15.00,3.00,5.00,3.00
282,1404,51.00,23.00,82.00,33.00,0.00,42.00
283,1406,280.00,7.00,81.00,20.00,0.00,27.00
284,1407,4.00,12.00,5.00,3.00,16.00,17.00
285,1409,270.00,3.00,27.00,39.00,6.00,99.00
286,1411,204.00,34.00,204.00,172.00,153.00,173.00
287,1419,18.00,6.00,15.00,12.00,8.00,17.00
288,1440,367.00,17.00,241.00,104.00,188.00,232.00
289,1446,387.00,68.00,569.00,89.00,45.00,68.00
290,1448,21.00,12.00,12.00,0.00,3.00,3.00
291,1453,735.00,40.00,183.00,52.00,20.00,30.00
292,1456,265.00,199.00,303.00,234.00,9.00,170.00
293,1458,8.00,3.00,19.00,3.00,3.00,8.00
294,1459,666.00,35.00,124.00,69.00,8.00,26.00
295,1461,17.00,1.00,12.00,3.00,1.00,4.00
296,1463,8.00,2.00,5.00,3.00,0.00,3.00
297,1473,53.00,1.00,5.00,2.00,1.00,10.00
298,1490,675.00,0.00,85.00,10.00,7.00,77.00
299,1491,162.00,33.00,124.00,40.00,28.00,172.00
300,1497,268.00,11.00,88.00,15.00,3.00,22.00
301,1501,55.00,16.00,1622.00,17.00,3.00,4.00
302,1502,18.00,3.00,19.00,3.00,3.00,6.00
303,1503,85.00,1.00,16.00,2.00,1.00,2.00
304,1506,48.00,9.00,45.00,3.00,15.00,20.00
305,1509,152.00,27.00,103.00,106.00,54.00,81.00
306,1513,600.00,21.00,128.00,223.00,150.00,128.00
307,1515,11.00,2.00,7.00,4.00,2.00,2.00
308,1517,3.00,9.00,13.00,2.00,12.00,12.00
309,1518,379.00,6.00,157.00,25.00,91.00,91.00
310,1519,38.00,4.00,22.00,3.00,3.00,3.00
311,1523,69.00,2.00,15.00,2.00,2.00,6.00
312,1524,709.00,45.00,115.00,30.00,160.00,45.00
313,1542,347.00,0.00,35.00,4.00,3.00,7.00
314,1544,741.00,68.00,689.00,224.00,68.00,103.00
315,1545,120.00,19.00,206.00,25.00,19.00,54.00
316,1553,966.00,168.00,672.00,246.00,105.00,126.00
317,1570,664.00,9.00,240.00,50.00,19.00,57.00
318,1577,558.00,79.00,622.00,207.00,175.00,95.00
319,1581,2.00,0.00,8.00,2.00,2.00,3.00
320,1584,171.00,7.00,171.00,25.00,19.00,89.00
321,1592,547.00,99.00,812.00,151.00,82.00,33.00
322,1600,292.00,3.00,77.00,10.00,3.00,26.00
323,1604,184.00,2.00,19.00,8.00,8.00,4.00
324,1606,3.00,1.00,8.00,4.00,3.00,3.00
325,1612,23.00,0.00,15.00,0.00,2.00,7.00
326,1618,577.00,0.00,64.00,0.00,0.00,51.00
327,1619,292.00,51.00,981.00,224.00,23.00,17.00
328,1626,15.00,0.00,8.00,4.00,2.00,20.00
329,1627,408.00,61.00,109.00,48.00,122.00,41.00
330,1628,354.00,21.00,311.00,167.00,75.00,32.00
331,1630,162.00,50.00,100.00,55.00,30.00,27.00
332,1631,890.00,63.00,292.00,0.00,25.00,12.00
333,1640,66.00,0.00,16.00,0.00,6.00,20.00
334,1646,4.00,9.00,12.00,11.00,2.00,8.00
335,1650,779.00,86.00,537.00,34.00,69.00,138.00
336,1655,16.00,3.00,15.00,2.00,1.00,11.00
337,1663,20.00,2.00,14.00,3.00,0.00,10.00
338,1665,1459.00,0.00,61.00,0.00,15.00,215.00
339,1672,204.00,7.00,149.00,20.00,15.00,66.00
340,1676,213.00,2.00,44.00,0.00,2.00,5.00
341,1685,796.00,14.00,590.00,38.00,44.00,0.00
342,1710,154.00,20.00,66.00,0.00,12.00,27.00
343,1715,9.00,4.00,18.00,7.00,5.00,5.00
344,1717,80.00,15.00,93.00,20.00,13.00,52.00
345,1726,3.00,9.00,15.00,13.00,2.00,39.00
346,1729,1043.00,24.00,97.00,32.00,24.00,157.00
347,1734,59.00,0.00,11.00,4.00,2.00,5.00
348,1740,760.00,38.00,104.00,50.00,9.00,38.00
349,1743,273.00,86.00,208.00,177.00,14.00,43.00
350,1744,9.00,7.00,13.00,3.00,2.00,20.00
351,1745,714.00,76.00,395.00,116.00,0.00,12.00
352,1755,30.00,11.00,25.00,29.00,1.00,18.00
353,1763,1259.00,172.00,815.00,97.00,148.00,33.00
354,1764,100.00,2.00,128.00,23.00,7.00,10.00
355,1772,1074.00,37.00,518.00,193.00,92.00,129.00
356,1773,5.00,6.00,15.00,11.00,7.00,13.00
357,1777,2.00,2.00,11.00,41.00,7.00,11.00
358,1802,412.00,5.00,119.00,38.00,29.00,77.00
359,1818,25.00,0.00,8.00,0.00,1.00,4.00
360,1826,189.00,104.00,379.00,111.00,189.00,218.00
361,1829,1148.00,0.00,60.00,0.00,0.00,24.00
362,1833,68.00,8.00,18.00,19.00,8.00,12.00
363,1834,30.00,5.00,23.00,4.00,1.00,4.00
364,1839,56.00,7.00,48.00,10.00,2.00,18.00
365,1857,46.00,0.00,12.00,0.00,2.00,23.00
366,1859,721.00,111.00,925.00,97.00,18.00,18.00
367,1867,652.00,48.00,350.00,94.00,84.00,108.00
368,1876,32.00,0.00,8.00,23.00,4.00,18.00
369,1878,4.00,6.00,8.00,6.00,3.00,10.00
370,1880,81.00,0.00,6.00,0.00,0.00,6.00
371,1890,11.00,1.00,4.00,2.00,0.00,7.00
372,1891,667.00,50.00,850.00,21.00,83.00,83.00
373,1907,965.00,69.00,279.00,54.00,41.00,69.00
374,1911,595.00,97.00,291.00,127.00,133.00,121.00
375,1915,794.00,115.00,243.00,150.00,0.00,205.00
376,1916,188.00,3.00,180.00,20.00,3.00,43.00
377,1920,44.00,4.00,21.00,6.00,0.00,27.00
378,1921,46.00,1.00,12.00,3.00,0.00,9.00
379,1927,399.00,27.00,159.00,58.00,8.00,39.00
380,1928,35.00,3.00,20.00,4.00,1.00,20.00
381,1940,1.00,3.00,4.00,2.00,2.00,6.00
382,1945,711.00,36.00,217.00,172.00,96.00,168.00
383,1951,228.00,122.00,122.00,208.00,129.00,30.00
384,1958,582.00,0.00,65.00,0.00,0.00,13.00
385,1964,446.00,107.00,768.00,33.00,196.00,53.00
386,1966,684.00,100.00,801.00,21.00,66.00,0.00
387,1968,5.00,1.00,5.00,10.00,0.00,7.00
388,1970,63.00,0.00,21.00,7.00,0.00,12.00
389,1987,1.00,10.00,11.00,19.00,3.00,15.00
390,1990,965.00,34.00,586.00,89.00,86.00,37.00
391,1991,78.00,0.00,11.00,0.00,0.00,7.00
392,1992,522.00,0.00,257.00,32.00,16.00,66.00
393,1993,867.00,0.00,86.00,0.00,0.00,19.00
394,1994,5.00,5.00,6.00,0.00,2.00,1.00
395,1998,34.00,6.00,21.00,11.00,4.00,8.00
396,2002,587.00,51.00,932.00,180.00,34.00,86.00
397,2004,619.00,54.00,260.00,127.00,54.00,54.00
398,2005,22.00,3.00,30.00,0.00,5.00,15.00
399,2008,372.00,23.00,384.00,250.00,12.00,108.00
400,2021,563.00,76.00,384.00,84.00,192.00,89.00
401,2036,243.00,11.00,119.00,10.00,3.00,15.00
402,2055,15.00,0.00,8.00,4.00,2.00,20.00
403,2061,78.00,0.00,11.00,0.00,0.00,10.00
404,2066,70.00,0.00,11.00,2.00,8.00,23.00
405,2072,896.00,10.00,101.00,13.00,10.00,34.00
406,2075,377.00,10.00,540.00,80.00,30.00,10.00
407,2079,450.00,26.00,535.00,73.00,98.00,26.00
408,2088,997.00,15.00,414.00,99.00,30.00,76.00
409,2098,11.00,0.00,5.00,0.00,0.00,1.00
410,2106,0.00,6.00,3.00,7.00,6.00,12.00
411,2109,448.00,71.00,951.00,40.00,17.00,17.00
412,2114,1006.00,22.00,115.00,59.00,68.00,45.00
413,2115,54.00,0.00,10.00,0.00,0.00,2.00
414,2118,166.00,75.00,96.00,119.00,107.00,59.00
415,2125,194.00,61.00,480.00,225.00,112.00,30.00
416,2130,35.00,3.00,67.00,10.00,8.00,24.00
417,2131,1063.00,89.00,102.00,16.00,12.00,25.00
418,2134,263.00,5.00,233.00,69.00,41.00,83.00
419,2139,3.00,1.00,10.00,3.00,2.00,12.00
420,2147,736.00,63.00,946.00,219.00,189.00,126.00
421,2150,860.00,28.00,409.00,73.00,56.00,56.00
422,2154,15.00,0.00,12.00,7.00,3.00,7.00
423,2156,27.00,0.00,10.00,0.00,0.00,4.00
424,2157,15.00,8.00,16.00,11.00,5.00,22.00
425,2162,256.00,34.00,103.00,90.00,29.00,49.00
426,2166,12.00,1.00,3.00,0.00,0.00,7.00
427,2173,13.00,6.00,7.00,0.00,3.00,3.00
428,2174,11.00,1.00,6.00,2.00,1.00,6.00
429,2176,1218.00,16.00,272.00,104.00,0.00,80.00
430,2181,353.00,61.00,753.00,40.00,46.00,27.00
431,2186,938.00,142.00,754.00,159.00,81.00,183.00
432,2202,44.00,2.00,11.00,2.00,3.00,7.00
433,2217,11.00,1.00,2.00,2.00,1.00,6.00
434,2223,1215.00,33.00,249.00,64.00,116.00,149.00
435,2225,510.00,120.00,550.00,156.00,40.00,241.00
436,2227,45.00,47.00,52.00,21.00,20.00,25.00
437,2230,27.00,2.00,14.00,0.00,0.00,0.00
438,2245,57.00,2.00,51.00,4.00,2.00,23.00
439,2246,43.00,12.00,23.00,29.00,15.00,61.00
440,2253,32.00,0.00,8.00,23.00,4.00,18.00
441,2254,627.00,120.00,414.00,121.00,80.00,93.00
442,2256,17.00,0.00,3.00,0.00,0.00,1.00
443,2258,8.00,4.00,15.00,7.00,6.00,2.00
444,2261,4.00,1.00,5.00,2.00,0.00,4.00
445,2262,202.00,5.00,74.00,11.00,5.00,14.00
446,2276,430.00,16.00,322.00,43.00,24.00,33.00
447,2278,4.00,17.00,19.00,30.00,24.00,39.00
448,2281,4.00,3.00,7.00,0.00,3.00,11.00
449,2285,213.00,9.00,76.00,4.00,3.00,30.00
450,2286,64.00,1.00,21.00,0.00,1.00,27.00
451,2292,5.00,4.00,8.00,2.00,0.00,5.00
452,2295,539.00,30.00,92.00,80.00,46.00,38.00
453,2296,3.00,2.00,11.00,2.00,2.00,10.00
454,2304,625.00,7.00,99.00,10.00,22.00,7.00
455,2308,110.00,5.00,137.00,26.00,23.00,29.00
456,2315,10.00,0.00,11.00,17.00,29.00,29.00
457,2320,508.00,11.00,59.00,23.00,5.00,29.00
458,2324,625.00,38.00,242.00,50.00,34.00,76.00
459,2326,32.00,0.00,8.00,23.00,4.00,18.00
460,2337,9.00,1.00,24.00,2.00,1.00,2.00
461,2345,587.00,54.00,348.00,71.00,54.00,130.00
462,2350,623.00,53.00,178.00,23.00,17.00,133.00
463,2371,39.00,1.00,22.00,3.00,4.00,12.00
464,2375,8.00,0.00,5.00,0.00,3.00,6.00
465,2379,778.00,44.00,499.00,95.00,73.00,146.00
466,2387,177.00,2.00,71.00,3.00,2.00,20.00
467,2392,44.00,4.00,21.00,6.00,0.00,27.00
468,2404,173.00,4.00,30.00,3.00,6.00,41.00
469,2406,376.00,4.00,94.00,12.00,9.00,24.00
470,2407,823.00,25.00,459.00,124.00,29.00,95.00
471,2408,490.00,0.00,184.00,10.00,28.00,21.00
472,2410,364.00,40.00,425.00,158.00,60.00,50.00
473,2415,362.00,17.00,398.00,80.00,35.00,61.00
474,2416,789.00,25.00,420.00,16.00,38.00,0.00
475,2426,483.00,74.00,114.00,169.00,37.00,18.00
476,2428,3.00,18.00,26.00,11.00,8.00,12.00
477,2429,531.00,69.00,300.00,150.00,138.00,150.00
478,2431,12.00,4.00,19.00,12.00,6.00,14.00
479,2437,861.00,138.00,461.00,60.00,30.00,61.00
480,2445,38.00,1.00,24.00,0.00,0.00,0.00
481,2447,4.00,12.00,15.00,19.00,7.00,12.00
482,2452,199.00,33.00,60.00,8.00,3.00,15.00
483,2453,526.00,28.00,135.00,10.00,21.00,99.00
484,2456,80.00,4.00,46.00,0.00,17.00,2.00
